NAME,YEAR,Yearly box office in USD$
Malaysia,2021,9025759
Malaysia,2022,53840291
Mexico,2019,920425545
Mexico,2020,154036704
Mexico,2021,328667538
Mexico,2022,538287316
Mongolia,2019,1394683
Mongolia,2020,264432
Mongolia,2021,42000
Mongolia,2022,316719
Netherlands,2019,340878279
Netherlands,2020,128547913
Netherlands,2021,144186492
Netherlands,2022,197173471
New Zealand,2019,123284717
New Zealand,2020,64642308
New Zealand,2021,64882342
New Zealand,2022,89180134
Nicaragua,2019,159105
Nicaragua,2020,11723
Nicaragua,2021,5240
Nicaragua,2022,19142
Nigeria,2019,2408387
Nigeria,2020,706551
Nigeria,2021,0
Nigeria,2022,363641
North Macedonia,2019,0
North Macedonia,2020,630
North Macedonia,2021,97
North Macedonia,2022,117413
Norway,2019,125336349
Norway,2020,50958090
Norway,2021,20764264
Norway,2022,67488429
Oman,2019,2560686
Oman,2020,1241743
Oman,2021,68494
Oman,2022,83431
Pakistan,2019,3248913
Pakistan,2020,856171
Pakistan,2021,2671
Pakistan,2022,331315
"Palestine, State of",2019,0
"Palestine, State of",2020,0
"Palestine, State of",2021,0
"Palestine, State of",2022,2399
Panama,2019,2971822
Panama,2020,64773
Panama,2021,363031
Panama,2022,1242458
Paraguay,2019,8275121
Paraguay,2020,826936
Paraguay,2021,146142
Paraguay,2022,671861
Peru,2019,36550308
Peru,2020,14052447
Peru,2021,4710108
Peru,2022,17338091
Philippines,2019,144513623
Philippines,2020,7746699
Philippines,2021,1289719
Philippines,2022,41385917
Poland,2019,233138329
Poland,2020,72011604
Poland,2021,51333275
Poland,2022,127582025
Portugal,2019,88668206
Portugal,2020,21274650
Portugal,2021,33043679
Portugal,2022,51969994
Puerto Rico,2019,0
Puerto Rico,2020,0
Puerto Rico,2021,0
Puerto Rico,2022,53257
Qatar,2019,5429467
Qatar,2020,2445349
Qatar,2021,184537
Qatar,2022,84115
Romania,2019,57526262
Romania,2020,13925397
Romania,2021,22955478
Romania,2022,50142685
Russia,2019,874858957
Russia,2020,251087538
Russia,2021,438062791
Russia,2022,353305937
Saudi Arabia,2019,0
Saudi Arabia,2020,7944158
Saudi Arabia,2021,26678108
Saudi Arabia,2022,49022168
Republic of Serbia,2019,10038692
Republic of Serbia,2020,2352719
Republic of Serbia,2021,9126902
Republic of Serbia,2022,13330407
Singapore,2019,84833249
Singapore,2020,9127296
Singapore,2021,21445600
Singapore,2022,38491705
Slovakia,2019,34133321
Slovakia,2020,13654084
Slovakia,2021,12873471
Slovakia,2022,26795200
Slovenia,2019,12552526
Slovenia,2020,2715626
Slovenia,2021,3952948
Slovenia,2022,10856191
South Africa,2019,96320981
South Africa,2020,15044606
South Africa,2021,18794346
South Africa,2022,39540992
South Korea,2019,96320981
South Korea,2020,15044606
South Korea,2021,18794346
South Korea,2022,39540992
Spain,2019,660472620
Spain,2020,115106704
Spain,2021,205983912
Spain,2022,374723501
Sri Lanka,2019,7482
Sri Lanka,2020,13887
Sri Lanka,2021,4778
Sri Lanka,2022,314911
Sweden,2019,105338914
Sweden,2020,27206507
Sweden,2021,21918892
Sweden,2022,45568290
Switzerland,2019,97601858
Switzerland,2020,18795954
Switzerland,2021,15370857
Switzerland,2022,46823898
Taiwan,2019,161695427
Taiwan,2020,36361841
Taiwan,2021,45960071
Taiwan,2022,70506022
Thailand,2019,112168555
Thailand,2020,15077489
Thailand,2021,12098814
Thailand,2022,47422319
Trinidad and Tobago,2019,5340297
Trinidad and Tobago,2020,1772853
Trinidad and Tobago,2021,8631
Trinidad and Tobago,2022,1305756
Turkey,2019,158828872
Turkey,2020,37670024
Turkey,2021,17323833
Turkey,2022,71008148
Ukraine,2019,105690908
Ukraine,2020,31698712
Ukraine,2021,48263076
Ukraine,2022,20183279
United Arab Emirates,2019,190808101
United Arab Emirates,2020,47546679
United Arab Emirates,2021,97887517
United Arab Emirates,2022,149007431
United Kingdom,2019,1612264840
United Kingdom,2020,406389115
United Kingdom,2021,711907628
United Kingdom,2022,1127728259
United States of America,2019,10227028316
United States of America,2020,1902462120
United States of America,2021,4034516278
United States of America,2022,6631034018
Uruguay,2019,14955195
Uruguay,2020,1760900
Uruguay,2021,125905
Uruguay,2022,1932409
Venezuela,2019,9121554
Venezuela,2020,164974
Venezuela,2021,793014
Venezuela,2022,759630
Vietnam,2019,126698366
Vietnam,2020,60768615
Vietnam,2021,46239898
Vietnam,2022,114963481
Canada,2019,1136336480
Canada,2020,211384680
Canada,2021,448279586
Canada,2022,736781558
