Date,NFLX,DIS,PARA,WBD,AMZN
2022-09-14,242.850006,107.57,22.096216,13.21,122.190002
2022-09-21,224.360001,95.849998,19.163294,11.32,114.410004
2022-09-28,240.740005,101.440002,19.825119,12.36,121.089996
2022-10-05,214.289993,93.099998,18.017448,11.6,112.209999
2022-10-12,240.860001,98.480003,19.350977,12.88,116.360001
2022-10-19,291.019989,104.360001,19.43,13.57,120.599998
2022-10-26,286.75,106,18.936102,13.35,96.790001
2022-11-02,263.459991,99.900002,16.377703,10.06,89.980003
2022-11-09,310.200012,95.510002,19.202806,11.33,98.940002
2022-11-16,286.690002,96.209999,18.906466,10.8,93.199997
2022-11-23,280.959991,94.690002,19.509024,11.14,92.419998
2022-11-30,305.559998,92.290001,17.928545,10.61,88.25
2022-12-07,320.339996,94.699997,19.43,10.89,92.489998
2022-12-14,288.190002,87.019997,16.674042,9.03,85.190002
2022-12-21,284.170013,86.370003,16.52,9.23,83.040001
2022-12-28,294.880005,86.879997,16.879999,9.48,84
